Context,Utterance,Paraphrase
Don't go yet.,Wait a while.,Could you please stay a little longer?
What kind of a place is this?,This is my house.,May I inform you that this is my residence?
,Don't even think about it.,I kindly suggest that you reconsider your thoughts on the matter.
Don't even think about it.,No more Aurora talk.,Let's avoid discussing Aurora from now on.
"""Oh, to be young, and to feel love's keen sting.""","""Well, come away, everybody.""","""Shall we all gather and spend some time together?"""
What a bitch. I feel great.,That was it.,That's all there was to it.
,What are you supposed to do?,May I ask what your intended course of action is?
What are you supposed to do?,Teach.,Could you please guide me on what actions I should take?
,Dirty sea.,The sea appears to be contaminated.
Mrs. Connelly?,Has he gone?,"Excuse me, may I ask if he has departed?"
"""Do you think he'll saying something at the court? [SEP] I think you can trust him, my lady.""",And you? Have you begun trusting him too?,"May I ask if you have also started to place your trust in him, my lady?"
,My Prince! You saved my life again!,"Oh, Your Highness! Once again, you have rescued me from danger!"
,Have your hot toddy and then leave!,Please enjoy your hot toddy and then depart.
What if I said yes?,Yes to what?,May I ask what you are referring to if I were to agree?
You seem to like it.,What got into you back there?,May I ask what inspired your behavior earlier?
,I wasn't sure whether you were actually reading anything because facts seem to bounce off of you like bullets off of Superman. And you accuse ''me'' of fantasies?,"I was uncertain if you were actively engaged in reading, as it appears that information does not have a significant impact on you. Additionally, you have accused me of having unrealistic thoughts?"
,"""Well, I suppose it is only reasonable for you to conclude that everyone behaves as you and your allies do. If """"good typography"""" is whatever Dicklyon likes, why shouldn't the truth be whatever subserves Dicklyon's cause?""","I understand your perspective, but perhaps it would be more appropriate to consider that not everyone may share the same behavior and beliefs as you and your associates. It's possible that what you consider to be ""good typography"" may not necessarily align with what others perceive as truth."
"""This way, Mr. Kringelein.""",Mr. Preysing.,"Excuse me, may I have your attention, Mr. Preysing?"
"""I do mean it when I say I need you,'cause I'm lonely.""","""You think I'm lying, don't you?""",Do you doubt the sincerity of my statement that I require your presence because I am experiencing loneliness?
"""Hey, Marissa!""",You're the lady.,You are the woman.
I found this.,It's not a weapon.,This is not something that can be used as a weapon.
,I must go.,I need to take my leave.
,Where's Papa?,May I inquire about the whereabouts of Papa?
Was she your friend?,The dead girl.,The deceased individual.
,Papa.,Father.
,I'm not a Croat!,I do not identify as a Croat.
,Got any money?,Do you happen to have any funds available?
How do I fix this?,You're asking me?,Are you seeking my assistance with this matter?
,None of you three move.,I kindly request that the three of you refrain from moving.
Gosh!,The power's gone.,It appears that we are experiencing a power outage.
,Ambulance.,Could you please call for an ambulance?
Ambulance.,Right.,Certainly.
Second volley. Fire Tubes 1 through 4.,Firing 1!,Initiating the first firing!
Second volley. Fire Tubes 1 through 4. [SEP] Firing 1!,Firing 2!,Initiating the second round of firing. Activating Tubes 1 to 4.
Second volley. Fire Tubes 1 through 4. [SEP] Firing 1! [SEP] Firing 2!,Firing 3!,May I please request to fire Tube 3?
Second volley. Fire Tubes 1 through 4. [SEP] Firing 1! [SEP] Firing 2! [SEP] Firing 3!,Firing 4!,Please proceed with firing tube number 4.
,Strike that.,Please disregard that.
Strike that.,You're wasting your time.,I'm afraid that may not be the most productive use of your time.
,"""Amanda, what is it?""","Excuse me, Amanda, may I inquire about what is troubling you?"
,You come in here and treat me like an asshole?,Do you think it's fair to treat me disrespectfully when you enter this place?
You come in here and treat me like an asshole?,"""No, primo, I wouldn't do that, man.""","""I assure you, I would never behave in such a disrespectful manner towards you, my friend."""
YEAH!,WHAT'S THE MATTER?,Is everything okay?
Sire.,Sire!,Your Majesty.
,Kill them.,Eliminate them.
Kill them.,Beat them.,Subdue them.
,Why don't you say something?,Would you mind sharing your thoughts on this matter?
Why don't you say something?,Say what?,May I ask what you would like me to say?
You want a cup of tea?,Stop acting as if nothing's happened.,Could we please focus on the current situation?
,Crazy.,That seems a bit unusual.
,Why did you bring these daggers from the place?,May I ask the reason for bringing these daggers from that location?
Why did you bring these daggers from the place?,They must lie there.,Perhaps it would be best for them to remain in their original location.
Not very talkative.,Don't take Henri's marrow. He's dangerous.,Please refrain from taking Henri's marrow as he may pose a potential threat.
,So it was you guys after all.,"It seems that you were the ones responsible, am I correct?"
So it was you guys after all.,You won't get away with this!,I kindly request that you refrain from such actions as they may have consequences.
So it was you guys after all. [SEP] You won't get away with this!,"""Boyacky, Tonzra, get them!""","Excuse me, would you mind stepping aside please?"
"""So it was you guys after all. [SEP] You won't get away with this! [SEP] Boyacky, Tonzra, get them! [SEP] Yes, Mistress!""",Take that! And that!,I must defend myself against you.
I feel your anger.,Who the fuck are you talking to?,May I ask who you are addressing?
"""Help me, God.""",Put it down.,Please lower it.
,Smells like death.,The scent is quite unpleasant and reminiscent of something unpleasant.
"""What are they planning, those tiny little creatures?""",Burner!,"Excuse me, could you please turn on the burner?"
Ever wonder about women being like fine wine? [SEP] Sort of like kissing your aunt.,"""Kissing, Donald?""","May I ask, Donald, if you were referring to kissing in general?"
,I must get going.,I need to take my leave.
James? [SEP] Lisa?,It is him.,That appears to be him.
The God of Light in the Northern Myths.,Balder?,"Excuse me, may I inquire about Balder, the God of Light in the Northern Myths?"
The God of Light in the Northern Myths. [SEP] Balder?,Balder means this.,Could you please explain the meaning of Balder in the Northern Myths?
Juliette! [SEP] The bus leaves in half-an-hour. [SEP] I'm sleepy.,You not coming?,Would you like to come with me?
,Haven't I killed you before?,"Excuse me, have we met before in a similar situation?"
,Those penniless bitches... desperately want to be my friends!,Some individuals who may be experiencing financial difficulties seem to be interested in forming a friendship with me.
,"""Shoes, belt, watch.""","May I suggest considering a pair of shoes, a belt, and a watch to complete your outfit?"
"""Shoes, belt, watch.""","""You've never been to an airport, dummy?""",Have you had the opportunity to visit an airport before?
Salute!,Straight up.,Absolutely.
,No. Only the power heals us.,"I'm sorry, but it's only through the power of healing that we can be cured."
No. Only the power heals us.,"""You do believe in the power, don't you?""","""Do you have faith in the healing power?"""
Marcus is in the stairwell on the way to fourth pitro.,Copy that. Kill him. Now!,Understood. Take action to neutralize the threat immediately.
,Get in the toilet!,Please use the restroom.
Get in the toilet!,What's down there?,May I ask what is located in that area?
,You're drunk.,It appears that you may have had too much to drink.
,"""Aren't you going to save me, you dork!""",Could you please assist me?
,What the hell are you doing home?,May I ask why you are back home?
What the hell are you doing home?,You know better than to cut school.,It's unexpected to see you at home.
,What's going on? What happened?,May I inquire about the current situation or any recent events?
,now!,Could you please do it at this moment?
,He's with me. Let him pass.,Please allow him to pass as he is accompanying me.
